model-1601899771,1601899774.131,14,0.93,0.1008,0.64,0.222
model-1601899771,1601899774.148,14,1.0,0.0099,0.57,0.2456
model-1601899771,1601899774.166,14,1.0,0.0185,0.64,0.2557
model-1601899771,1601899774.182,14,0.79,0.1214,0.64,0.2654
model-1601899771,1601899774.198,14,0.93,0.096,0.64,0.2548
model-1601899771,1601899774.22,14,0.86,0.0689,0.64,0.2386
model-1601899771,1601899774.247,14,0.86,0.0591,0.64,0.2206
model-1601899771,1601899774.28,15,0.71,0.1582,0.71,0.1971
model-1601899771,1601899774.303,15,0.93,0.0694,0.71,0.2131
model-1601899771,1601899774.324,15,0.93,0.0459,0.71,0.2659
model-1601899771,1601899774.344,15,0.86,0.0906,0.64,0.283
model-1601899771,1601899774.365,15,0.64,0.1815,0.64,0.2579
model-1601899771,1601899774.389,15,0.93,0.0526,0.71,0.2458
model-1601899771,1601899774.408,15,0.86,0.0929,0.71,0.2375
model-1601899771,1601899774.428,15,0.86,0.1263,0.64,0.2114
model-1601899771,1601899774.447,15,0.79,0.0804,0.71,0.1904
model-1601899771,1601899774.463,15,1.0,0.0448,0.71,0.1749
model-1601899771,1601899774.48,15,1.0,0.0276,0.71,0.1654
model-1601899771,1601899774.502,16,0.71,0.1536,0.71,0.1755
model-1601899771,1601899774.519,16,0.64,0.1501,0.71,0.167
model-1601899771,1601899774.536,16,0.93,0.066,0.79,0.1584
model-1601899771,1601899774.552,16,1.0,0.0109,0.71,0.1578
model-1601899771,1601899774.568,16,1.0,0.0477,0.79,0.1602
model-1601899771,1601899774.584,16,1.0,0.0178,0.79,0.1694
model-1601899771,1601899774.602,16,0.93,0.0402,0.79,0.1833
model-1601899771,1601899774.618,16,0.86,0.0952,0.79,0.1762
model-1601899771,1601899774.635,16,0.86,0.0765,0.79,0.1695
model-1601899771,1601899774.651,16,0.93,0.0644,0.64,0.171
model-1601899771,1601899774.668,16,1.0,0.0158,0.71,0.1847
model-1601899771,1601899774.687,17,0.79,0.1132,0.71,0.1907
model-1601899771,1601899774.705,17,0.93,0.0647,0.71,0.1889
model-1601899771,1601899774.721,17,1.0,0.0215,0.71,0.1874
model-1601899771,1601899774.738,17,1.0,0.0038,0.71,0.1855
model-1601899771,1601899774.754,17,1.0,0.0179,0.71,0.1848
model-1601899771,1601899774.771,17,1.0,0.0089,0.71,0.1847
model-1601899771,1601899774.789,17,1.0,0.0069,0.71,0.1863
model-1601899771,1601899774.805,17,0.86,0.0533,0.71,0.1856
model-1601899771,1601899774.822,17,1.0,0.0134,0.71,0.1877
model-1601899771,1601899774.839,17,1.0,0.0156,0.71,0.1866
model-1601899771,1601899774.86,17,1.0,0.0056,0.71,0.1852
model-1601899771,1601899774.886,18,1.0,0.0147,0.71,0.1835
model-1601899771,1601899774.906,18,1.0,0.025,0.71,0.1806
model-1601899771,1601899774.927,18,1.0,0.0186,0.71,0.1755
model-1601899771,1601899774.95,18,1.0,0.0054,0.71,0.1726
model-1601899771,1601899774.975,18,1.0,0.0054,0.71,0.171
model-1601899771,1601899774.996,18,1.0,0.0016,0.71,0.1721
model-1601899771,1601899775.015,18,1.0,0.0091,0.71,0.1766
